period,constructionPeriod,vin,weight
2011,before1919,before1945,1
2011,1919-1945,before1945,0.963
2011,1919-1945,1945-1969,0.037
2011,1946-1960,1945-1969,1
2011,1961-1970,1945-1969,0.9
2011,1961-1970,1970-1979,0.1
2011,1971-1980,1970-1979,0.9
2011,1971-1980,1980-1989,0.1
2011,1981-1990,1980-1989,0.9
2011,1981-1990,1990-1999,0.1
2011,1991-2000,1990-1999,0.9
2011,1991-2000,2000-2010,0.1
2011,2001-2005,2000-2010,1
2011,after2005,2000-2010,0.857
2011,after2005,2011-2020,0.143
2021,before1919,before1945,1
2021,1919-1945,before1945,0.963
2021,1919-1945,1945-1969,0.0370
2021,1946-1960,1945-1969,1
2021,1961-1980,1945-1969,0.45
2021,1961-1980,1970-1979,0.5
2021,1961-1980,1980-1989,0.05
2021,1981-2000,1980-1989,0.45
2021,1981-2000,1990-1999,0.5
2021,1981-2000,2000-2010,0.05
2021,2001-2010,2000-2010,1
2021,2011-2015,2011-2020,1
2021,after2016,2011-2020,0.8
2021,after2016,2021-2030,0.2
